loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,classifier_model_accuracy_C,classifier_model_f1_score_C,meta_model_accuracy,meta_model_f1_score
1,0.8,0.7893806980421154,0.6608695652173913,0.6358995716867168,0.3217391304347826,0.24254452777126786,0.8144927536231884,0.8153017856867195
2,0.453416149068323,0.33588920137833184,0.4658385093167702,0.4531784594520566,0.2515527950310559,0.16791262958213393,0.7298136645962733,0.7473357342443427
3,0.5159420289855072,0.5046717258570651,0.5942028985507246,0.5245567486086589,0.3652173913043478,0.2266554471999431,0.6608695652173913,0.6913841206461033
4,0.5565217391304348,0.5526994793074468,0.527536231884058,0.3715554378866119,0.35942028985507246,0.20368812465570157,0.7188405797101449,0.7105616155631624
5,0.7329192546583851,0.6897045650065039,0.5341614906832298,0.38041437819442186,0.4161490683229814,0.30564945226917056,0.6770186335403726,0.7217888998491593
6,0.48985507246376814,0.5204235695797905,0.5710144927536231,0.5738025276749363,0.26956521739130435,0.11002063071028588,0.6347826086956522,0.659613799347736
7,0.4753623188405797,0.3944562868637233,0.6115942028985507,0.5985664683768427,0.34202898550724636,0.1578259139234749,0.782608695652174,0.7825878627896855
8,0.4463768115942029,0.3344440156680768,0.5826086956521739,0.5934407728200785,0.34492753623188405,0.28331430384553885,0.6985507246376812,0.6966612997555661
9,0.6260869565217392,0.6193404050170758,0.6,0.5771414726557343,0.32753623188405795,0.23973436721474836,0.7536231884057971,0.7469229132283681
10,0.6956521739130435,0.6649162027246702,0.6376811594202898,0.6184710516037423,0.32753623188405795,0.17676529065532787,0.8260869565217391,0.8493175613692792
11,0.6956521739130435,0.6838425772846581,0.663768115942029,0.6473993026219254,0.2782608695652174,0.15174616824454545,0.7855072463768116,0.8000483925300554
12,0.7507246376811594,0.7407743009158438,0.6318840579710145,0.6065219893399401,0.1536231884057971,0.1323186481841664,0.8666666666666667,0.8792063165827424
13,0.48695652173913045,0.4825463212120853,0.6347826086956522,0.5603395676806819,0.33043478260869563,0.21887321104616003,0.7101449275362319,0.7371778151854146
14,0.6695652173913044,0.6467834252537213,0.6869565217391305,0.6549474630875539,0.2985507246376812,0.18353829982637415,0.808695652173913,0.8172762498856989
15,0.5304347826086957,0.5256292486868928,0.6608695652173913,0.6612811071441815,0.2898550724637681,0.1470884316169112,0.7188405797101449,0.7431215796302011
16,0.5072463768115942,0.5053750284694305,0.5652173913043478,0.5098188058782298,0.17681159420289855,0.1399148810762083,0.6231884057971014,0.612705831401294
17,0.5826086956521739,0.5295568512254466,0.4753623188405797,0.46666550305738336,0.3159420289855073,0.12004405286343613,0.5333333333333333,0.5064302564578522
18,0.7507246376811594,0.7407232918596556,0.7681159420289855,0.7529659798655929,0.37971014492753624,0.27900115844513984,0.8869565217391304,0.8975473932791006
19,0.5681159420289855,0.4946574188859927,0.5855072463768116,0.5844714845860244,0.34782608695652173,0.22127104304683243,0.6782608695652174,0.6541321243258115
20,0.7971014492753623,0.7821617900564164,0.6869565217391305,0.6574391850637874,0.24057971014492754,0.19919369248637542,0.9072463768115943,0.9144741334564737
21,0.7188405797101449,0.7393067751698128,0.6927536231884058,0.6860714643982684,0.3565217391304348,0.23682010592951225,0.7478260869565218,0.7419817577931374
22,0.5478260869565217,0.5347552037152166,0.663768115942029,0.675521472392638,0.3826086956521739,0.32727498750558587,0.7478260869565218,0.7586479404123682
23,0.6894409937888198,0.6661824614065179,0.7453416149068323,0.7489665068890421,0.2857142857142857,0.1111111111111111,0.8478260869565217,0.8576344138046751
24,0.7391304347826086,0.7408053867784565,0.6782608695652174,0.6976084967431875,0.2956521739130435,0.11434977578475336,0.881159420289855,0.8988173293600317
25,0.2898550724637681,0.2699673233984646,0.42028985507246375,0.4117560638081554,0.3217391304347826,0.1626662088769586,0.2811594202898551,0.25795017611360005
26,0.553623188405797,0.5373130378372549,0.5971014492753624,0.6014601183037279,0.36231884057971014,0.2221790890269151,0.7391304347826086,0.7486428724191047
27,0.6028985507246377,0.6142372932236086,0.45507246376811594,0.3853882159784727,0.13623188405797101,0.10650431304760452,0.6782608695652174,0.7071683196962357
28,0.6695652173913044,0.6181092813105933,0.6985507246376812,0.6698266543854778,0.33043478260869563,0.1782491597992726,0.8,0.7986449086693803
29,0.7623188405797101,0.7763282328648616,0.5971014492753624,0.583497293688104,0.28405797101449276,0.24148598990063702,0.8289855072463768,0.8507495019477738
30,0.7391304347826086,0.7555082794893404,0.5159420289855072,0.4726276919123228,0.3217391304347826,0.18908655490933973,0.7942028985507247,0.8153204208006162
31,0.7768115942028986,0.7833893588640424,0.6318840579710145,0.6345364631749608,0.2927536231884058,0.17766227034498644,0.7739130434782608,0.8034098698181386
32,0.7420289855072464,0.7205648668901941,0.6492753623188405,0.6633751416638194,0.13043478260869565,0.07211538461538461,0.7768115942028986,0.7976885403432215
33,0.37577639751552794,0.2849654372504979,0.5341614906832298,0.381376601366462,0.2577639751552795,0.1419198402510341,0.6180124223602484,0.5689593301435406
34,0.43768115942028984,0.3526023996699876,0.7391304347826086,0.7595362855865482,0.3188405797101449,0.12974301303677788,0.7797101449275362,0.8090198121580247
35,0.45217391304347826,0.3537683157086142,0.6347826086956522,0.6025606995772224,0.32753623188405795,0.15832715591796392,0.7420289855072464,0.7283716741410953
36,0.5014492753623189,0.5153410667692016,0.4985507246376812,0.45515462187943,0.32463768115942027,0.29493930107881494,0.5217391304347826,0.5487144056330008
37,0.6057971014492753,0.5988311977812257,0.5826086956521739,0.5437676061956402,0.28695652173913044,0.23417989417989418,0.8115942028985508,0.8336797129696899
38,0.6985507246376812,0.7023942686236053,0.6579710144927536,0.6498364170822638,0.36231884057971014,0.21604097285296198,0.808695652173913,0.8333804372576469
39,0.6260869565217392,0.5842503877317544,0.6405797101449275,0.6146616787529093,0.32463768115942027,0.1843102888672509,0.782608695652174,0.7886031024152854
40,0.518840579710145,0.49252826670092975,0.663768115942029,0.610887174541948,0.2782608695652174,0.14731771439981362,0.7681159420289855,0.7868892147071531
41,0.5623188405797102,0.5053018875559552,0.7159420289855073,0.6545857032477567,0.3333333333333333,0.12637362637362637,0.8405797101449275,0.8499115922028635
42,0.6927536231884058,0.7093838670201835,0.5478260869565217,0.4469201775236258,0.2144927536231884,0.14878820623649275,0.8434782608695652,0.8554821389662373
43,0.5217391304347826,0.48848216469272965,0.6490683229813664,0.4801989688775631,0.36335403726708076,0.30634057971014494,0.8105590062111802,0.8024035823005379
44,0.6492753623188405,0.6121076133340733,0.5884057971014492,0.5461994039692195,0.3072463768115942,0.16149089659910684,0.7536231884057971,0.7385913658640931
45,0.6925465838509317,0.6945575662592314,0.5496894409937888,0.53372769090957,0.35403726708074534,0.13073394495412843,0.8291925465838509,0.8630295016187133
46,0.7142857142857143,0.6633942908025281,0.6366459627329193,0.4483736572359003,0.32919254658385094,0.1978886102597443,0.8913043478260869,0.8910553976915533
47,0.6387959866220736,0.6229803684732443,0.6020066889632107,0.44111671766110294,0.47491638795986624,0.4685044998043564,0.7224080267558528,0.7233093941493668
48,0.5797101449275363,0.5390077481009663,0.6463768115942029,0.5980785114486302,0.20579710144927535,0.1345143332813069,0.7304347826086957,0.7310986368129225
49,0.5942028985507246,0.5625325759414432,0.672463768115942,0.6561397051155436,0.24057971014492754,0.13636363636363635,0.8260869565217391,0.835981194424903
50,0.6898550724637681,0.6987469298102342,0.5594202898550724,0.5336234002963122,0.10434782608695652,0.13311146166219454,0.8115942028985508,0.8290640583335009
51,0.7101449275362319,0.7016137347134233,0.6144927536231884,0.6365992849938037,0.15072463768115943,0.1016614205434628,0.8405797101449275,0.8613698716444451
52,0.6811594202898551,0.6900827125901958,0.591304347826087,0.559223260204347,0.35942028985507246,0.25006503830033244,0.8,0.8267990074441688
53,0.6956521739130435,0.7010336285051656,0.7391304347826086,0.7032613307252975,0.35942028985507246,0.22059779077322939,0.8956521739130435,0.9074134207694406
54,0.48405797101449277,0.46528024873981766,0.5652173913043478,0.569059737237139,0.21159420289855072,0.20119847048171074,0.6840579710144927,0.720275893112004
55,0.48695652173913045,0.48897952400569245,0.6405797101449275,0.5781076124471026,0.3855072463768116,0.243873073630137,0.6869565217391305,0.7029409792567687
56,0.6832298136645962,0.602956911509543,0.7080745341614907,0.5340996582588279,0.2950310559006211,0.1524318429661941,0.7919254658385093,0.7997093228342348
mean,0.6117102359338384,0.5879565538666706,0.6155083270766502,0.5749394422456687,0.300132527927559,0.19048787210785928,0.7554208472686733,0.7652911568436471
std,0.11664367272314025,0.13505257488704636,0.07564642925531131,0.09865154721910713,0.07427271353580203,0.06994196885962668,0.1057452628685742,0.11223672037984461
